playerID,yearID,teamID,G,AB,R,H,Doubles,Triples,HR,RBI,SB,SO,Walks HBP,AVG,OBP,SLG,OPS
poseybu01,2015,SFN,150,557,74,177,28,0,19,95,2,52,69,0.318,0.442,0.470,0.912
butlebi03,2010,KCA,158,595,77,189,45,0,15,78,0,78,82,0.318,0.455,0.469,0.924
mccutan01,2013,PIT,157,583,97,185,38,5,21,84,27,101,99,0.317,0.487,0.508,0.995
abreujo02,2014,CHA,145,556,80,176,35,2,36,107,3,131,77,0.317,0.455,0.581,1.036
jeterde01,2012,NYA,159,683,99,216,32,0,15,58,9,90,51,0.316,0.391,0.429,0.820
younger03,2012,COL,98,174,36,55,7,2,4,15,14,31,17,0.316,0.414,0.448,0.862
harrijo05,2014,PIT,143,520,77,164,38,7,13,52,18,81,27,0.315,0.367,0.490,0.858
beltrad01,2013,TEX,161,631,88,199,32,0,30,92,1,78,69,0.315,0.425,0.509,0.933
polloaj01,2015,ARI,157,609,111,192,39,6,20,76,39,89,55,0.315,0.406,0.498,0.903
martijd02,2014,DET,123,441,57,139,30,3,23,76,6,126,38,0.315,0.401,0.553,0.955
craigal01,2013,SLN,134,508,71,160,29,2,13,97,2,100,52,0.315,0.417,0.457,0.874
tulowtr01,2010,COL,122,470,89,148,32,3,27,95,11,78,57,0.315,0.436,0.568,1.004
molinya01,2012,SLN,138,505,65,159,28,0,22,76,12,55,54,0.315,0.422,0.501,0.923
suzukic01,2010,SEA,162,680,74,214,30,3,6,43,42,86,61,0.315,0.404,0.394,0.799
sandopa01,2011,SFN,117,426,55,134,26,3,23,70,2,63,41,0.315,0.411,0.552,0.962
canoro01,2014,SEA,157,595,77,187,37,2,14,82,10,68,87,0.314,0.461,0.454,0.914
canoro01,2013,NYA,160,605,81,190,41,0,27,107,7,85,87,0.314,0.458,0.516,0.974
escobyu01,2015,WAS,139,535,75,168,25,1,9,56,2,70,53,0.314,0.413,0.415,0.828
mccutan01,2014,PIT,146,548,89,172,38,6,25,83,18,115,102,0.314,0.500,0.542,1.042
vottojo01,2015,CIN,158,545,95,171,33,2,29,80,11,135,163,0.314,0.613,0.541,1.154
altuvjo01,2015,HOU,154,638,86,200,40,4,15,66,38,67,50,0.313,0.392,0.459,0.851
fieldpr01,2012,DET,162,581,83,182,33,1,30,108,1,84,120,0.313,0.520,0.528,1.048
lindofr01,2015,CLE,99,390,50,122,22,4,12,51,12,69,28,0.313,0.385,0.482,0.867
hunteto01,2012,LAA,140,534,81,167,24,1,16,92,9,133,47,0.313,0.401,0.451,0.852
butlebi03,2012,KCA,161,614,72,192,32,1,29,107,2,111,70,0.313,0.427,0.510,0.936
cabremi01,2014,DET,159,611,101,191,52,1,25,109,1,117,73,0.313,0.432,0.524,0.956
canoro01,2012,NYA,161,627,105,196,48,1,33,94,3,96,78,0.313,0.437,0.550,0.987
ruggiju01,2012,MIA,91,288,38,90,23,1,13,36,14,84,29,0.313,0.413,0.535,0.948
hollima01,2010,SLN,158,596,95,186,45,1,28,103,9,93,87,0.312,0.458,0.532,0.990
konerpa01,2010,CHA,149,548,89,171,30,1,39,111,0,110,84,0.312,0.465,0.584,1.049
dickeco01,2014,COL,131,436,74,136,27,6,24,76,8,101,44,0.312,0.413,0.567,0.979
pujolal01,2010,SLN,159,587,115,183,39,1,42,118,14,76,145,0.312,0.559,0.596,1.155
guzmaje01,2011,SDN,76,247,33,77,22,2,5,44,9,43,25,0.312,0.413,0.478,0.891
peralda01,2015,ARI,149,462,61,144,26,10,17,78,9,107,50,0.312,0.420,0.522,0.942
tulowtr01,2013,COL,126,446,72,139,27,0,25,82,1,85,66,0.312,0.460,0.540,1.000
panikjo01,2015,SFN,100,382,59,119,27,2,8,37,3,42,43,0.312,0.424,0.455,0.880
valenda01,2010,MIN,85,299,30,93,18,1,7,40,2,46,20,0.311,0.378,0.448,0.826
uribeju01,2014,LAN,103,386,36,120,23,0,9,54,0,77,18,0.311,0.358,0.440,0.798
poseybu01,2014,SFN,147,547,72,170,28,2,22,89,0,69,55,0.311,0.411,0.490,0.901
podsesc01,2010,KCA,95,390,46,121,8,6,5,44,30,57,30,0.310,0.387,0.400,0.787
brantmi02,2015,CLE,137,529,68,164,45,0,15,84,15,51,70,0.310,0.442,0.480,0.922
pachejo01,2012,COL,132,475,51,147,32,3,5,54,7,61,27,0.309,0.366,0.421,0.787
blackch02,2013,COL,82,246,35,76,17,2,6,22,7,49,10,0.309,0.350,0.467,0.817
johnsre02,2011,CHN,111,246,33,76,22,1,5,28,2,63,17,0.309,0.378,0.467,0.846
ortizda01,2013,BOS,137,518,84,160,38,2,30,103,4,88,104,0.309,0.510,0.564,1.073
vottojo01,2011,CIN,161,599,101,185,40,3,29,103,8,129,129,0.309,0.524,0.531,1.055
ortizda01,2011,BOS,146,525,84,162,40,1,29,96,1,83,91,0.309,0.482,0.554,1.036
pencehu01,2011,HOU,100,399,49,123,26,3,11,62,7,86,32,0.308,0.388,0.471,0.860
johnsch05,2010,HOU,94,341,40,105,22,2,11,52,3,91,19,0.308,0.364,0.481,0.845
pradoma01,2010,ATL,140,599,100,184,40,3,15,66,5,86,45,0.307,0.382,0.459,0.841
castrst01,2011,CHN,158,674,91,207,36,9,10,66,22,96,39,0.307,0.365,0.432,0.797
pierrju01,2012,PHI,130,394,59,121,10,6,1,25,37,27,27,0.307,0.376,0.371,0.746
pedrodu01,2011,BOS,159,635,102,195,37,3,21,91,26,85,93,0.307,0.454,0.474,0.928
craigal01,2012,SLN,119,469,76,144,35,0,22,92,2,89,39,0.307,0.390,0.522,0.913
wrighda03,2013,NYN,112,430,63,132,23,6,18,58,17,79,65,0.307,0.458,0.514,0.972
hernaen02,2015,LAN,76,202,24,62,12,2,7,22,0,46,13,0.307,0.371,0.490,0.861
cainlo01,2015,KCA,140,551,101,169,34,6,16,72,28,98,53,0.307,0.403,0.477,0.880
crawfca02,2010,TBA,154,600,110,184,30,13,19,90,47,104,52,0.307,0.393,0.495,0.888
zimmery01,2010,WAS,142,525,85,161,32,0,25,85,4,98,79,0.307,0.457,0.510,0.968
youklke01,2010,BOS,102,362,77,111,26,5,19,62,4,67,71,0.307,0.503,0.564,1.066
wrighda03,2012,NYN,156,581,91,178,41,2,21,93,15,112,100,0.306,0.478,0.492,0.971
ramirar01,2011,CHN,149,565,80,173,35,1,26,93,1,69,58,0.306,0.409,0.510,0.919
reverbe01,2014,PHI,151,601,71,184,13,7,2,28,49,49,18,0.306,0.336,0.361,0.697
kotchca01,2011,TBA,146,500,44,153,24,2,10,48,2,66,65,0.306,0.436,0.422,0.858
cabreme01,2011,KCA,155,658,102,201,44,5,18,87,20,94,39,0.305,0.365,0.470,0.834
poseybu01,2010,SFN,108,406,58,124,23,2,18,67,0,55,39,0.305,0.401,0.505,0.906
molinya01,2011,SLN,139,475,55,145,32,1,14,65,4,44,38,0.305,0.385,0.465,0.851
fieldpr01,2015,TEX,158,613,78,187,28,0,23,98,0,88,89,0.305,0.450,0.463,0.914
reverbe01,2013,PHI,88,315,37,96,9,3,0,17,22,36,17,0.305,0.359,0.352,0.711
jayjo02,2012,SLN,117,443,70,135,22,4,4,40,19,71,52,0.305,0.422,0.400,0.822
vottojo01,2013,CIN,162,581,101,177,30,3,24,73,6,138,158,0.305,0.577,0.491,1.067
avilemi01,2010,KCA,110,424,63,129,16,3,8,32,14,49,21,0.304,0.354,0.413,0.767
morgany01,2011,MIL,119,378,61,115,20,6,4,37,13,70,33,0.304,0.392,0.421,0.812
